"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 31 22:37:01 BDT 2022","Sun Jul 31 22:37:20 BDT 2022","19478","","Check Note and checklist Functionality","","Check Note and checklist Functionality","Go inside single note->Click edit icon->Update Title->check list","Go inside single note->Click edit icon->Update Title->check list",""
"passed","Sun Jul 31 22:32:33 BDT 2022","Sun Jul 31 22:33:49 BDT 2022","76442","","Check Note and checklist Functionality","","Check Note and checklist Functionality","Add Note->Text->Enter input->check list->+ click->checklist->enter input->check list","Add Note->Text->Enter input->check list->+ click->checklist->enter input->check list",""
"passed","Sun Jul 31 22:33:49 BDT 2022","Sun Jul 31 22:35:02 BDT 2022","72665","","Check Note and checklist Functionality","","Check Note and checklist Functionality","Multiple select->Delete->trash can->check list->multi select->Restore->Notes->check list","Multiple select->Delete->trash can->check list->multi select->Restore->Notes->check list",""
"passed","Sun Jul 31 22:36:05 BDT 2022","Sun Jul 31 22:37:01 BDT 2022","55405","","Check Note and checklist Functionality","","Check Note and checklist Functionality","Single select->Archive->check list->Archive->Single select->UnArchive->Notes->check list","Single select->Archive->check list->Archive->Single select->UnArchive->Notes->check list",""
"passed","Sun Jul 31 22:35:02 BDT 2022","Sun Jul 31 22:36:05 BDT 2022","63408","","Check Note and checklist Functionality","","Check Note and checklist Functionality","Single select->Delete->trash can->check list->Single select->Permanently Delete->check list->Notes","Single select->Delete->trash can->check list->Single select->Permanently Delete->check list->Notes",""
